timestamps,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,latitude,longitude
2020-07-01 15:00:00+00:00,1593615600,Overcast,cloudy,0.0063,0.15,rain,71.62,72.46,66.78,0.85,1012.4,2.92,5.35,43,0.88,4,9.58,342.2,42.363796,-71.1087861286
2020-07-01 16:00:00+00:00,1593619200,Mostly Cloudy,partly-cloudy-day,0.0086,0.11,rain,72.28,73.1,66.77,0.83,1012.1,3.53,6.24,70,0.78,5,10.0,342.1,42.363796,-71.1087861286
2020-07-01 17:00:00+00:00,1593622800,Mostly Cloudy,partly-cloudy-day,0.0092,0.1,rain,72.95,73.78,66.96,0.81,1011.8,5.36,6.79,78,0.8,5,10.0,342.3,42.363796,-71.1087861286
2020-07-01 18:00:00+00:00,1593626400,Mostly Cloudy,partly-cloudy-day,0.0094,0.1,rain,73.63,74.49,67.35,0.81,1011.5,6.65,8.32,95,0.68,5,9.927,344.0,42.363796,-71.1087861286
2020-07-01 19:00:00+00:00,1593630000,Mostly Cloudy,partly-cloudy-day,0.0088,0.12,rain,72.47,73.29,66.81,0.82,1011.2,6.2,9.12,96,0.72,4,9.575,342.9,42.363796,-71.1087861286
2020-07-01 20:00:00+00:00,1593633600,Mostly Cloudy,partly-cloudy-day,0.0092,0.16,rain,71.68,72.48,66.45,0.84,1011.0,5.1,7.93,93,0.73,3,9.907,341.1,42.363796,-71.1087861286
2020-07-01 21:00:00+00:00,1593637200,Mostly Cloudy,partly-cloudy-day,0.0101,0.18,rain,71.3,72.13,66.54,0.85,1010.9,3.73,7.64,107,0.69,2,10.0,339.6,42.363796,-71.1087861286
2020-07-01 22:00:00+00:00,1593640800,Mostly Cloudy,partly-cloudy-day,0.0075,0.17,rain,71.63,72.41,66.36,0.83,1010.7,2.58,5.43,124,0.64,1,10.0,338.8,42.363796,-71.1087861286
2020-07-01 23:00:00+00:00,1593644400,Partly Cloudy,partly-cloudy-day,0.0062,0.17,rain,71.17,71.97,66.34,0.85,1010.9,2.43,5.16,149,0.59,0,10.0,338.4,42.363796,-71.1087861286
2020-07-02 00:00:00+00:00,1593648000,Partly Cloudy,partly-cloudy-day,0.0022,0.05,rain,69.69,70.51,66.03,0.88,1010.9,3.0,4.95,154,0.59,0,10.0,341.2,42.363796,-71.1087861286
2020-07-02 01:00:00+00:00,1593651600,Mostly Cloudy,partly-cloudy-night,0.0021,0.04,rain,68.94,69.79,66.04,0.9,1011.1,1.9,4.13,159,0.64,0,10.0,341.2,42.363796,-71.1087861286
2020-07-02 02:00:00+00:00,1593655200,Partly Cloudy,partly-cloudy-night,0.0007,0.02,rain,67.91,68.75,65.66,0.93,1011.3,1.95,3.49,185,0.59,0,10.0,341.1,42.363796,-71.1087861286
2020-07-02 03:00:00+00:00,1593658800,Partly Cloudy,partly-cloudy-night,0.0006,0.02,rain,67.31,68.16,65.53,0.94,1011.3,1.46,3.06,220,0.58,0,9.674,341.0,42.363796,-71.1087861286
2020-07-02 04:00:00+00:00,1593662400,Mostly Cloudy,partly-cloudy-night,0.0002,0.01,rain,66.77,67.6,65.19,0.95,1011.4,1.59,2.58,268,0.61,0,8.428,340.9,42.363796,-71.1087861286
2020-07-02 05:00:00+00:00,1593666000,Mostly Cloudy,partly-cloudy-night,0.0003,0.01,rain,66.38,67.19,64.93,0.95,1011.0,1.59,2.75,230,0.67,0,7.045,340.9,42.363796,-71.1087861286
2020-07-02 06:00:00+00:00,1593669600,Mostly Cloudy,partly-cloudy-night,0.0004,0.01,rain,66.01,66.79,64.6,0.95,1010.7,1.9,3.06,225,0.72,0,6.344,341.4,42.363796,-71.1087861286
2020-07-02 07:00:00+00:00,1593673200,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,65.13,65.86,64.03,0.96,1010.0,2.13,4.11,237,0.7,0,6.255,338.0,42.363796,-71.1087861286
2020-07-02 08:00:00+00:00,1593676800,Mostly Cloudy,partly-cloudy-night,0.0005,0.01,rain,64.54,65.21,63.39,0.96,1010.2,1.63,3.68,268,0.67,0,6.968,340.2,42.363796,-71.1087861286
2020-07-02 09:00:00+00:00,1593680400,Mostly Cloudy,partly-cloudy-night,0.0003,0.01,rain,64.28,64.9,63.03,0.96,1010.3,1.98,3.83,250,0.72,0,5.749,341.6,42.363796,-71.1087861286
2020-07-02 10:00:00+00:00,1593684000,Mostly Cloudy,partly-cloudy-day,0.0,0.0,,64.25,64.85,62.82,0.95,1010.7,2.27,3.84,300,0.71,0,6.469,341.8,42.363796,-71.1087861286
2020-07-02 11:00:00+00:00,1593687600,Partly Cloudy,partly-cloudy-day,0.0,0.0,,66.1,66.76,63.91,0.93,1010.6,1.82,3.46,241,0.57,1,9.589,341.2,42.363796,-71.1087861286
2020-07-02 12:00:00+00:00,1593691200,Partly Cloudy,partly-cloudy-day,0.0008,0.01,rain,68.46,69.3,65.85,0.91,1010.5,2.01,3.45,258,0.39,2,10.0,341.4,42.363796,-71.1087861286
2020-07-02 13:00:00+00:00,1593694800,Partly Cloudy,partly-cloudy-day,0.0,0.0,,72.53,73.35,66.84,0.82,1009.9,2.85,4.61,202,0.32,3,10.0,337.5,42.363796,-71.1087861286
2020-07-02 14:00:00+00:00,1593698400,Clear,clear-day,0.0,0.0,,75.9,76.66,66.96,0.74,1009.7,2.79,5.81,233,0.26,5,10.0,332.1,42.363796,-71.1087861286
2020-07-02 15:00:00+00:00,1593702000,Clear,clear-day,0.0006,0.01,rain,79.28,81.56,67.3,0.67,1009.5,3.55,6.63,256,0.16,7,10.0,327.7,42.363796,-71.1087861286
2020-07-02 16:00:00+00:00,1593705600,Clear,clear-day,0.0,0.0,,80.9,83.41,67.28,0.63,1009.0,3.5,7.83,211,0.15,8,10.0,325.8,42.363796,-71.1087861286
2020-07-02 17:00:00+00:00,1593709200,Clear,clear-day,0.0011,0.01,rain,83.1,85.64,66.85,0.58,1008.9,4.73,8.5,316,0.12,9,10.0,324.8,42.363796,-71.1087861286
2020-07-02 18:00:00+00:00,1593712800,Clear,clear-day,0.0008,0.01,rain,84.68,87.53,67.23,0.56,1008.4,4.31,8.41,238,0.16,8,10.0,323.2,42.363796,-71.1087861286
2020-07-02 19:00:00+00:00,1593716400,Clear,clear-day,0.0012,0.01,rain,86.3,89.12,66.92,0.53,1008.0,2.91,8.31,173,0.17,6,10.0,321.0,42.363796,-71.1087861286
2020-07-02 20:00:00+00:00,1593720000,Clear,clear-day,0.0009,0.01,rain,86.85,89.9,67.24,0.52,1007.6,3.87,8.63,232,0.18,5,10.0,317.1,42.363796,-71.1087861286
2020-07-02 21:00:00+00:00,1593723600,Clear,clear-day,0.002,0.01,rain,86.89,90.28,67.79,0.53,1007.3,3.96,10.4,212,0.19,3,10.0,313.5,42.363796,-71.1087861286
2020-07-02 22:00:00+00:00,1593727200,Clear,clear-day,0.0008,0.01,rain,86.2,89.98,68.53,0.56,1007.1,4.24,9.68,253,0.11,1,10.0,310.6,42.363796,-71.1087861286
2020-07-02 23:00:00+00:00,1593730800,Clear,clear-day,0.0004,0.01,rain,85.22,89.6,69.7,0.6,1007.2,3.72,8.07,192,0.12,0,10.0,308.0,42.363796,-71.1087861286
2020-07-03 00:00:00+00:00,1593734400,Clear,clear-day,0.0045,0.03,rain,83.0,87.4,70.57,0.66,1007.2,3.72,8.7,213,0.28,0,10.0,309.1,42.363796,-71.1087861286
2020-07-03 01:00:00+00:00,1593738000,Partly Cloudy,partly-cloudy-night,0.0156,0.06,rain,79.35,81.97,68.81,0.7,1007.5,4.45,15.58,230,0.33,0,10.0,309.0,42.363796,-71.1087861286
2020-07-03 02:00:00+00:00,1593741600,Partly Cloudy,partly-cloudy-night,0.0069,0.05,rain,77.82,78.73,68.51,0.73,1007.7,3.43,9.43,254,0.34,0,10.0,309.4,42.363796,-71.1087861286
2020-07-03 03:00:00+00:00,1593745200,Clear,clear-night,0.0072,0.05,rain,76.9,77.92,69.23,0.77,1007.7,4.33,10.25,277,0.27,0,10.0,310.0,42.363796,-71.1087861286
2020-07-03 04:00:00+00:00,1593748800,Clear,clear-night,0.0047,0.04,rain,76.29,77.32,69.26,0.79,1007.8,3.62,9.63,268,0.21,0,10.0,310.8,42.363796,-71.1087861286
2020-07-03 05:00:00+00:00,1593752400,Clear,clear-night,0.0024,0.02,rain,75.74,76.78,69.2,0.8,1007.9,4.46,9.86,327,0.16,0,10.0,311.7,42.363796,-71.1087861286
2020-07-03 06:00:00+00:00,1593756000,Clear,clear-night,0.0008,0.01,rain,75.0,76.02,68.93,0.81,1008.0,3.95,7.5,328,0.18,0,10.0,311.7,42.363796,-71.1087861286
2020-07-03 07:00:00+00:00,1593759600,Clear,clear-night,0.0002,0.01,rain,75.07,76.06,68.7,0.81,1008.2,4.09,8.62,327,0.13,0,10.0,311.7,42.363796,-71.1087861286
2020-07-03 08:00:00+00:00,1593763200,Clear,clear-night,0.0,0.0,,74.22,75.19,68.35,0.82,1007.6,4.04,10.74,339,0.08,0,10.0,311.6,42.363796,-71.1087861286
2020-07-03 09:00:00+00:00,1593766800,Clear,clear-night,0.0006,0.01,rain,74.33,75.3,68.33,0.82,1008.4,4.48,10.47,353,0.15,0,10.0,311.9,42.363796,-71.1087861286
2020-07-03 10:00:00+00:00,1593770400,Clear,clear-day,0.0003,0.01,rain,74.8,75.72,68.06,0.8,1009.2,5.98,14.69,20,0.29,0,10.0,312.9,42.363796,-71.1087861286
2020-07-03 11:00:00+00:00,1593774000,Partly Cloudy,partly-cloudy-day,0.0017,0.02,rain,72.59,73.53,67.7,0.85,1010.0,7.35,15.25,33,0.46,1,10.0,314.1,42.363796,-71.1087861286
2020-07-03 12:00:00+00:00,1593777600,Mostly Cloudy,partly-cloudy-day,0.0018,0.02,rain,71.21,72.07,66.8,0.86,1010.8,9.16,17.64,29,0.69,2,9.728,315.1,42.363796,-71.1087861286
2020-07-03 13:00:00+00:00,1593781200,Mostly Cloudy,partly-cloudy-day,0.0011,0.02,rain,69.02,69.81,65.69,0.89,1011.5,9.19,17.66,60,0.82,3,9.335,316.1,42.363796,-71.1087861286
2020-07-03 14:00:00+00:00,1593784800,Overcast,cloudy,0.0008,0.02,rain,69.03,69.7,64.86,0.87,1011.9,7.41,15.79,52,0.93,4,10.0,316.0,42.363796,-71.1087861286
2020-07-03 15:00:00+00:00,1593788400,Overcast,cloudy,0.0002,0.02,rain,69.19,69.77,64.28,0.84,1012.7,8.14,16.73,41,0.96,4,10.0,315.4,42.363796,-71.1087861286
2020-07-03 16:00:00+00:00,1593792000,Overcast,cloudy,0.0014,0.02,rain,69.43,69.89,63.42,0.81,1012.7,7.26,17.0,42,0.99,4,10.0,314.1,42.363796,-71.1087861286
2020-07-03 17:00:00+00:00,1593795600,Overcast,cloudy,0.0009,0.02,rain,68.69,69.09,62.82,0.82,1012.9,9.6,16.81,45,0.98,4,10.0,312.2,42.363796,-71.1087861286
2020-07-03 18:00:00+00:00,1593799200,Overcast,cloudy,0.0,0.0,,67.72,68.13,62.64,0.84,1013.1,9.18,15.67,51,0.98,4,10.0,310.3,42.363796,-71.1087861286
2020-07-03 19:00:00+00:00,1593802800,Overcast,cloudy,0.0005,0.02,rain,67.51,67.89,62.39,0.84,1013.1,8.39,15.23,39,0.97,4,10.0,309.4,42.363796,-71.1087861286
2020-07-03 20:00:00+00:00,1593806400,Overcast,cloudy,0.0008,0.02,rain,67.45,67.82,62.25,0.83,1012.9,7.16,14.72,41,0.95,3,10.0,308.8,42.363796,-71.1087861286
2020-07-03 21:00:00+00:00,1593810000,Overcast,cloudy,0.0012,0.03,rain,66.61,66.97,61.94,0.85,1013.0,7.36,14.97,32,0.96,2,10.0,308.7,42.363796,-71.1087861286
2020-07-03 22:00:00+00:00,1593813600,Overcast,cloudy,0.0026,0.03,rain,65.79,66.1,61.45,0.86,1013.1,8.09,14.67,39,0.95,1,10.0,309.4,42.363796,-71.1087861286
2020-07-03 23:00:00+00:00,1593817200,Overcast,cloudy,0.002,0.02,rain,64.85,65.2,61.41,0.89,1013.3,6.85,13.58,35,0.95,0,9.903,310.6,42.363796,-71.1087861286
2020-07-04 00:00:00+00:00,1593820800,Overcast,cloudy,0.0028,0.03,rain,64.01,64.38,61.28,0.91,1013.5,6.94,14.6,28,0.98,0,9.794,311.7,42.363796,-71.1087861286
2020-07-04 01:00:00+00:00,1593824400,Overcast,cloudy,0.0024,0.03,rain,63.74,64.12,61.25,0.92,1013.6,6.75,14.15,29,0.99,0,9.912,311.9,42.363796,-71.1087861286
2020-07-04 02:00:00+00:00,1593828000,Overcast,cloudy,0.002,0.03,rain,63.63,64.03,61.38,0.92,1013.8,6.86,14.14,28,0.97,0,10.0,311.9,42.363796,-71.1087861286
2020-07-04 03:00:00+00:00,1593831600,Overcast,cloudy,0.0029,0.03,rain,63.16,63.55,61.11,0.93,1014.0,5.3,14.5,25,0.99,0,9.8,311.6,42.363796,-71.1087861286
2020-07-04 04:00:00+00:00,1593835200,Overcast,cloudy,0.0035,0.03,rain,63.19,63.56,60.98,0.92,1013.8,5.37,13.29,24,0.98,0,9.985,310.5,42.363796,-71.1087861286
2020-07-04 05:00:00+00:00,1593838800,Overcast,cloudy,0.0023,0.02,rain,62.96,63.36,61.13,0.94,1013.6,5.2,11.89,18,0.98,0,8.986,309.0,42.363796,-71.1087861286
2020-07-04 06:00:00+00:00,1593842400,Overcast,cloudy,0.0014,0.01,rain,62.8,63.16,60.77,0.93,1013.5,4.96,11.94,18,0.97,0,9.303,308.8,42.363796,-71.1087861286
2020-07-04 07:00:00+00:00,1593846000,Overcast,cloudy,0.0026,0.03,rain,62.61,62.95,60.63,0.93,1013.4,5.12,11.71,9,0.97,0,10.0,309.9,42.363796,-71.1087861286
2020-07-04 08:00:00+00:00,1593849600,Overcast,cloudy,0.0027,0.01,rain,62.31,62.61,60.25,0.93,1013.3,6.43,11.49,15,0.97,0,10.0,311.7,42.363796,-71.1087861286
2020-07-04 09:00:00+00:00,1593853200,Overcast,cloudy,0.002,0.01,rain,61.98,62.28,60.18,0.94,1013.6,5.12,10.2,13,0.98,0,9.102,313.7,42.363796,-71.1087861286
2020-07-04 10:00:00+00:00,1593856800,Overcast,cloudy,0.0015,0.01,rain,62.2,62.47,60.01,0.93,1013.9,6.21,10.75,6,0.88,0,10.0,316.0,42.363796,-71.1087861286
2020-07-04 11:00:00+00:00,1593860400,Overcast,cloudy,0.0005,0.01,rain,62.68,62.97,60.26,0.92,1014.3,4.31,9.98,4,0.88,1,10.0,318.5,42.363796,-71.1087861286
2020-07-04 12:00:00+00:00,1593864000,Mostly Cloudy,partly-cloudy-day,0.001,0.01,rain,63.25,63.56,60.59,0.91,1014.4,4.72,8.67,20,0.85,1,10.0,320.0,42.363796,-71.1087861286
2020-07-04 13:00:00+00:00,1593867600,Mostly Cloudy,partly-cloudy-day,0.0007,0.01,rain,65.07,65.4,61.35,0.88,1014.3,2.87,5.88,16,0.79,3,10.0,319.8,42.363796,-71.1087861286
2020-07-04 14:00:00+00:00,1593871200,Mostly Cloudy,partly-cloudy-day,0.0,0.0,,67.17,67.51,62.0,0.83,1014.3,3.32,6.81,19,0.72,4,10.0,318.9,42.363796,-71.1087861286
2020-07-04 15:00:00+00:00,1593874800,Partly Cloudy,partly-cloudy-day,0.0,0.0,,70.82,71.23,63.35,0.77,1014.4,4.49,6.99,14,0.59,6,10.0,317.8,42.363796,-71.1087861286
2020-07-04 16:00:00+00:00,1593878400,Partly Cloudy,partly-cloudy-day,0.0,0.0,,73.16,73.58,63.72,0.72,1013.9,4.68,7.51,82,0.48,7,10.0,316.7,42.363796,-71.1087861286
2020-07-04 17:00:00+00:00,1593882000,Partly Cloudy,partly-cloudy-day,0.0,0.0,,73.88,74.28,63.67,0.7,1013.5,4.47,6.96,61,0.41,7,10.0,315.4,42.363796,-71.1087861286
2020-07-04 18:00:00+00:00,1593885600,Clear,clear-day,0.0,0.0,,73.48,73.92,63.97,0.72,1013.6,6.67,8.46,62,0.24,8,10.0,317.4,42.363796,-71.1087861286
2020-07-04 19:00:00+00:00,1593889200,Clear,clear-day,0.0,0.0,,74.38,74.87,64.45,0.71,1013.7,6.89,8.3,94,0.17,7,10.0,315.5,42.363796,-71.1087861286
2020-07-04 20:00:00+00:00,1593892800,Clear,clear-day,0.0,0.0,,73.92,74.42,64.5,0.72,1013.3,5.61,9.05,103,0.11,5,10.0,313.0,42.363796,-71.1087861286
2020-07-04 21:00:00+00:00,1593896400,Clear,clear-day,0.0,0.0,,74.12,74.64,64.75,0.73,1013.4,6.27,8.67,107,0.07,3,10.0,311.1,42.363796,-71.1087861286
2020-07-04 22:00:00+00:00,1593900000,Clear,clear-day,0.0,0.0,,73.95,74.48,64.8,0.73,1013.2,4.95,8.31,108,0.05,1,10.0,310.5,42.363796,-71.1087861286
2020-07-04 23:00:00+00:00,1593903600,Clear,clear-day,0.0,0.0,,72.97,73.57,65.24,0.77,1013.5,5.1,8.1,118,0.06,0,10.0,310.6,42.363796,-71.1087861286
2020-07-05 00:00:00+00:00,1593907200,Clear,clear-day,0.0,0.0,,71.32,72.0,65.46,0.82,1013.0,5.22,8.08,118,0.07,0,10.0,311.0,42.363796,-71.1087861286
2020-07-05 01:00:00+00:00,1593910800,Clear,clear-night,0.0008,0.01,rain,69.79,70.48,65.24,0.85,1013.6,4.51,8.66,126,0.07,0,10.0,310.9,42.363796,-71.1087861286
2020-07-05 02:00:00+00:00,1593914400,Clear,clear-night,0.0004,0.01,rain,69.03,69.74,65.1,0.87,1013.9,4.25,8.63,130,0.07,0,10.0,312.1,42.363796,-71.1087861286
2020-07-05 03:00:00+00:00,1593918000,Clear,clear-night,0.0,0.0,,68.45,69.17,65.03,0.89,1014.1,3.94,9.85,148,0.07,0,10.0,312.7,42.363796,-71.1087861286
2020-07-05 04:00:00+00:00,1593921600,Clear,clear-night,0.0,0.0,,67.86,68.61,65.02,0.91,1014.2,3.9,7.88,162,0.11,0,10.0,312.0,42.363796,-71.1087861286
2020-07-05 05:00:00+00:00,1593925200,Clear,clear-night,0.0004,0.01,rain,67.17,67.92,64.84,0.92,1013.9,3.32,8.0,179,0.15,0,10.0,310.8,42.363796,-71.1087861286
2020-07-05 06:00:00+00:00,1593928800,Clear,clear-night,0.0,0.0,,66.46,67.15,64.21,0.92,1014.1,3.26,6.07,177,0.18,0,9.797,310.2,42.363796,-71.1087861286
2020-07-05 07:00:00+00:00,1593932400,Partly Cloudy,partly-cloudy-night,0.0003,0.01,rain,66.01,66.69,63.98,0.93,1013.9,3.29,6.54,180,0.37,0,7.681,312.5,42.363796,-71.1087861286
2020-07-05 08:00:00+00:00,1593936000,Partly Cloudy,partly-cloudy-night,0.0007,0.01,rain,65.49,66.16,63.71,0.94,1013.8,4.11,7.55,184,0.5,0,7.994,316.3,42.363796,-71.1087861286
2020-07-05 09:00:00+00:00,1593939600,Mostly Cloudy,partly-cloudy-night,0.0016,0.02,rain,65.57,66.24,63.77,0.94,1013.9,3.71,7.67,188,0.69,0,9.287,319.8,42.363796,-71.1087861286
2020-07-05 10:00:00+00:00,1593943200,Mostly Cloudy,partly-cloudy-day,0.0007,0.01,rain,66.01,66.69,64.02,0.93,1014.2,4.24,8.02,205,0.72,0,9.275,322.9,42.363796,-71.1087861286
2020-07-05 11:00:00+00:00,1593946800,Mostly Cloudy,partly-cloudy-day,0.0008,0.02,rain,67.4,68.18,65.11,0.92,1014.4,4.53,8.15,189,0.74,1,8.909,325.7,42.363796,-71.1087861286
2020-07-05 12:00:00+00:00,1593950400,Mostly Cloudy,partly-cloudy-day,0.0008,0.02,rain,69.09,69.92,65.97,0.9,1014.6,3.17,7.07,217,0.73,1,10.0,327.3,42.363796,-71.1087861286
2020-07-05 13:00:00+00:00,1593954000,Mostly Cloudy,partly-cloudy-day,0.0021,0.02,rain,70.98,71.82,66.56,0.86,1014.7,2.61,6.57,228,0.71,3,10.0,326.9,42.363796,-71.1087861286
2020-07-05 14:00:00+00:00,1593957600,Mostly Cloudy,partly-cloudy-day,0.001,0.01,rain,72.37,73.22,66.99,0.83,1014.6,2.74,6.82,238,0.67,4,10.0,325.1,42.363796,-71.1087861286
2020-07-05 15:00:00+00:00,1593961200,Partly Cloudy,partly-cloudy-day,0.0016,0.01,rain,74.46,75.33,67.61,0.79,1014.3,2.32,5.7,254,0.56,5,10.0,323.6,42.363796,-71.1087861286
2020-07-05 16:00:00+00:00,1593964800,Partly Cloudy,partly-cloudy-day,0.0019,0.01,rain,78.55,79.34,67.44,0.69,1014.1,2.42,5.97,221,0.38,7,10.0,322.8,42.363796,-71.1087861286
2020-07-05 17:00:00+00:00,1593968400,Clear,clear-day,0.0011,0.01,rain,81.05,83.51,67.06,0.63,1013.8,2.52,5.52,152,0.31,8,10.0,322.4,42.363796,-71.1087861286
2020-07-05 18:00:00+00:00,1593972000,Clear,clear-day,0.0018,0.01,rain,82.4,84.97,67.02,0.6,1013.6,4.03,7.57,66,0.11,8,10.0,323.0,42.363796,-71.1087861286
2020-07-05 19:00:00+00:00,1593975600,Clear,clear-day,0.003,0.01,rain,81.49,83.93,66.9,0.61,1013.3,6.03,9.26,61,0.15,6,10.0,321.7,42.363796,-71.1087861286
2020-07-05 20:00:00+00:00,1593979200,Clear,clear-day,0.0057,0.02,rain,80.01,82.32,66.96,0.64,1013.2,5.96,9.82,101,0.26,4,10.0,320.0,42.363796,-71.1087861286
2020-07-05 21:00:00+00:00,1593982800,Partly Cloudy,partly-cloudy-day,0.007,0.04,rain,78.22,79.0,67.36,0.69,1013.1,6.51,10.25,96,0.33,3,10.0,318.6,42.363796,-71.1087861286
2020-07-05 22:00:00+00:00,1593986400,Partly Cloudy,partly-cloudy-day,0.006,0.06,rain,77.26,78.15,68.25,0.74,1013.1,5.63,8.86,98,0.36,1,10.0,317.8,42.363796,-71.1087861286
2020-07-05 23:00:00+00:00,1593990000,Partly Cloudy,partly-cloudy-day,0.0047,0.04,rain,76.62,77.59,68.78,0.77,1013.4,5.3,9.02,108,0.35,0,10.0,317.2,42.363796,-71.1087861286
2020-07-06 00:00:00+00:00,1593993600,Clear,clear-day,0.0065,0.05,rain,75.25,76.35,69.53,0.82,1013.4,4.96,9.44,111,0.22,0,10.0,317.4,42.363796,-71.1087861286
2020-07-06 01:00:00+00:00,1593997200,Clear,clear-night,0.0062,0.05,rain,74.28,75.45,69.83,0.86,1013.7,5.01,10.57,156,0.25,0,10.0,317.3,42.363796,-71.1087861286
2020-07-06 02:00:00+00:00,1594000800,Partly Cloudy,partly-cloudy-night,0.006,0.1,rain,72.99,74.22,69.91,0.9,1014.0,5.74,12.56,189,0.4,0,10.0,317.4,42.363796,-71.1087861286
2020-07-06 03:00:00+00:00,1594004400,Possible Light Rain,rain,0.0113,0.5,rain,71.58,72.82,69.55,0.93,1014.3,4.79,12.15,268,0.56,0,10.0,317.8,42.363796,-71.1087861286
2020-07-06 04:00:00+00:00,1594008000,Rain,rain,0.0829,0.49,rain,69.39,70.47,67.71,0.94,1014.5,3.49,7.5,92,0.45,0,10.0,318.5,42.363796,-71.1087861286
2020-07-06 05:00:00+00:00,1594011600,Partly Cloudy,partly-cloudy-night,0.0023,0.04,rain,67.61,68.52,66.02,0.95,1014.6,3.16,6.88,50,0.49,0,10.0,319.4,42.363796,-71.1087861286
2020-07-06 06:00:00+00:00,1594015200,Mostly Cloudy,partly-cloudy-night,0.0011,0.02,rain,66.95,67.73,64.97,0.93,1014.8,2.4,4.33,37,0.66,0,9.31,320.5,42.363796,-71.1087861286
2020-07-06 07:00:00+00:00,1594018800,Mostly Cloudy,partly-cloudy-night,0.002,0.02,rain,66.71,67.46,64.73,0.93,1015.0,2.7,4.7,24,0.73,0,9.307,323.3,42.363796,-71.1087861286
2020-07-06 08:00:00+00:00,1594022400,Mostly Cloudy,partly-cloudy-night,0.0011,0.02,rain,66.19,66.97,64.65,0.95,1015.1,3.42,7.62,4,0.79,0,8.714,326.9,42.363796,-71.1087861286
2020-07-06 09:00:00+00:00,1594026000,Mostly Cloudy,partly-cloudy-night,0.0011,0.02,rain,65.78,66.49,64.1,0.94,1015.6,3.97,9.13,0,0.86,0,8.36,330.6,42.363796,-71.1087861286
2020-07-06 10:00:00+00:00,1594029600,Mostly Cloudy,partly-cloudy-day,0.0007,0.01,rain,65.54,66.25,64.0,0.95,1016.2,5.03,10.16,8,0.76,0,9.166,334.3,42.363796,-71.1087861286
2020-07-06 11:00:00+00:00,1594033200,Possible Drizzle,rain,0.0038,0.32,rain,66.17,66.91,64.46,0.94,1017.0,4.76,9.71,6,0.84,0,9.366,337.9,42.363796,-71.1087861286
2020-07-06 12:00:00+00:00,1594036800,Mostly Cloudy,partly-cloudy-day,0.0002,0.01,rain,66.98,67.71,64.68,0.92,1017.9,4.84,8.81,7,0.81,1,10.0,338.2,42.363796,-71.1087861286
2020-07-06 13:00:00+00:00,1594040400,Mostly Cloudy,partly-cloudy-day,0.0004,0.01,rain,67.63,68.31,64.52,0.9,1018.3,5.54,9.66,17,0.79,3,10.0,337.3,42.363796,-71.1087861286
